"Bond Rating","Cash","Earnings Before Interest","Gross Profit (Loss)","Retained Earnings","EBTI Margin (Revenue)","Dividends per Share - Pay Date - Calendar","Total Stockholders Equity","Total Market Value (Fiscal Years)","Total Revenue","Financing Activities - Net Cash Flow","Net Cash Flow","Debt to Equity Ratio","Return on Asset","Interest Coverage","Current Ratio","Return on Equity","Quick Ratio","Risk Rating"
"B",289.8,537.3,1250.4,-537.3,0.070481288,0,3060.8,2984.5018,7623.3,3644.9,3735.7,1.7226215368531104,0.04249715261958997,0.3480364786897451,0.07858833356536266,0.3474255096706745,0.06724209940136433,"High Risk"
"B-",241.526,243.241,628.763,1957.248,0.208894736,0,-1290.158,1449.0312,1164.419,-68.585,-13.77,-1.5666685785771977,0.17104545160482784,0.5009147306580716,0.3923500451539605,-0.39291311606795454,0.35180178867946515,"High Risk"
"BB",1760,828,2633,1348,0.036379613,0,2168,7919.7728,22760,305,963,0.5608856088560885,0.11282191034200845,0.051932367149758456,0.4632798104764412,1.194649446494465,0.4632798104764412,"High Risk"
"BBB-",90.782,1229.623,4699.556,1977.018,0.126283324,0.24,2460.648,11034.4901,9737.018,-445.952,243.69,0.4930250080466609,0.1511602648697257,0.053193539808542946,0.9562383988378662,1.8833039101895106,0.020351240595772917,"Medium Risk"
"BBB",756.8,437.7,1191.4,982.6,0.161709831,0.52,1360,8438.8454,2706.7,-3.9,285,0.2591176470588235,0.1801531116233125,0.07448023760566598,1.3686558839933072,0.8520588235294119,1.0552147239263803,"Medium Risk"
"B",502.2,453.377,1425.56,-1806.158,0.184051498,0,2058.429,3375.9688,2463.316,-632.983,-425.701,1.3954316617187184,0.07610609129736245,0.38853978035939185,0.8273990354167683,0.6069701699694281,0.4893067666975204,"High Risk"
"BB+",41.314,115.586,229.42,754.348,0.074565984,0.84,1183.737,1139.413,1550.117,-23.602,130.281,0,0.07672872976001445,0.010321319190905474,0.12802999783073538,0.19280211736221817,0.12802999783073538,"High Risk"
"BB-",318,1488.6,2517,1676,0.232013716,0,3210,7293.3,6416,-487,1111,0.43457943925233644,0.17189376443418014,0.08598683326615612,0.08927250308261406,0.7442367601246106,0.0784217016029593,"High Risk"
"B+",1809.33,3852.871,5735.08,898.617,0.568311048,0,2223.426,48947.7772,6779.511,1640.277,890.838,1.066535157904963,0.3776261603229131,0.0344460014363315,0.3226291351050627,2.519698879117182,0.3226291351050627,"High Risk"
"B+",219.6,555.8,634.6,62.1,0.177725194,0.88,-877.6,2952.287,3127.3,-178.6,255.8,-2.637876025524157,0.21114614595600803,0.233177401943145,0.2025274081513097,-0.5754329990884228,0.18378106954556864,"High Risk"
"BB",683.893,1003.513,1117.488,-112.764,0.055782084,0,3630.943,4161.2726,17989.88,2719.764,3484.197,1.2246204360685364,0.07160636943784127,0.21905745117402564,0.11519497779117813,0.24722530758538516,0.11519497779117813,"High Risk"
"B",26.56,393.449,429.157,-523.6,0.457783621,0,-1.489,432.6205,859.465,-7.157,104.844,-605.3512424445937,0.297498121019927,0.20540654570223837,0.06284159470010647,-233.94224311618532,0.06284159470010647,"High Risk"
"B-",14.184,82.426,153.973,-29.647,0.09619339,0,252.173,239.3068,856.878,15.903,45.025,1.3957481570191892,0.09141938167198115,0.2955984762089632,0.44151539599300793,0.513964619527071,0.04768051633723275,"High Risk"
"BB-",103.4,147.7,449,88.4,0.122633677,0.8,459.8,957.904,1204.4,-85.2,1.3,1.3742931709438886,0.09823744595942799,0.35748138117806366,0.6843127731908694,0.8616789908655937,0.2510927634774162,"High Risk"
"B+",43.416,304.404,534.284,-268.12,0.33959372,0.76,86.373,1797.8049,896.377,188.579,385.845,16.885774489713217,0.16587562543116743,0.2646351559112232,0.14956078404354264,5.253123082444746,0.14956078404354264,"High Risk"
"BB",2080.089,981.443,1545.509,56.424,0.240792731,3,21.845,7027.7667,4075.883,1216.258,1789.071,421.73334859235524,0.09327303196015228,0.3609307927205146,1.6732668038675105,54.533119707026785,1.6154149031180831,"High Risk"
"BBB",301,1040,1040,2707,0.305612695,0.9,5609,9558.7271,3403,-362,323,0.42146550187199144,0.08768232020908862,0.10673076923076923,0.07741769547325103,0.16562667142093065,0.07741769547325103,"Medium Risk"
"BB+",7470.6,2203,2203,2415.3,0.551798417,0.6,10978.6,7980.5734,3992.4,-997.3,160,1.3824986792487202,0.032637617261343906,0.35106672719019516,0.2313127232882544,0.13021696755506165,0.18070112209528738,"High Risk"
"B+",259.801,182.05,230.347,697.762,0.382401748,0,1446.163,357.6909,476.07,1.023,216.866,0.740083240962464,0.06100020908613277,0.35262839879154073,0.5551659294399213,0.11489092170108073,0.5551659294399213,"High Risk"
"BBB-",779.382,-2963.149,-2888.461,33.754,-1.855107895,0.64,2797.678,8475.101,1597.292,690.625,1382.125,0.5310189378477437,-0.5651320565004464,-0.028937458089350214,0.8687184241502515,-1.0630983980286508,0.8118647069240303,"Medium Risk"
"BBB-",2479,2359,4521,-2716,0.171700997,2.25,3018,14983.685,13739,-1495,1152,1.3767395626242545,0.23961401726764855,0.09410767274268758,1.2994011976047903,1.4244532803180914,0.9277694610778443,"Medium Risk"
"BBB+",28.413,232.856,368.716,-524.677,0.413142874,0.8112,389.797,1402.7723,563.621,-91.365,72.521,1.9006149354664095,0.16919637245349126,0.11586130484075996,0.14765879478827362,0.8767050541692214,0.11568811074918567,"Medium Risk"
"BBB+",1177.75,569.292,846.09,2634.419,0.269668222,1.4,5124.072,17391.836259134452,2111.083,-274.774,-29.317,0.14005462842832808,0.04299293321577387,0.07247598771807788,0.15915970701910861,0.15706844088061217,0.15915970701910861,"Medium Risk"
"B-",2.116,-15.047,16.918,-1289.027,-0.127723688,0,47.184,19.1144,117.809,55.516,67.922,5.914398948796203,-0.024934957328693344,-2.2050907157572937,0.0076334776334776346,-0.34465072906069844,0.0076334776334776346,"High Risk"
"A-",988.133,367.67,955.998,6005.888,0.095491037,1.16,5866.882,17391.836259134452,3850.309,-487.006,304.194,0.16905487446313053,0.01840016042525705,0.13861071069165284,0.07529676496093173,0.1542616674410701,0.07529676496093173,"Low Risk"
"BB+",376.1,531.4,699,3405.9,0.263251759,0.08,3947.9,2369.12,2018.6,-47.7,433.6,0.5172370120823729,0.06307044092338733,0.2739932254422281,0.1598784693709969,0.14017578966032573,0.15441780259484317,"High Risk"
"BBB-",40.663,183.738,205.931,-567.547,0.744273279,0.615,471.557,1177.6175,246.869,535.724,540.281,4.779630034121007,0.058734080426352565,0.6142550806039033,0.1009307982525814,0.1973653238102711,0.1009307982525814,"Medium Risk"
"B",67.253,252.17,252.17,-5704.092,0.303903125,0,759.524,428.5373,829.771,-106.605,90.961,0.5257253227021134,0.1474137845363133,0.20781615576793436,0.12187930409568686,0.2630134136643476,0.12187930409568686,"High Risk"
"BB",16.053,-506.173,-191.194,90.53,-0.239979651,0,4758.588,1927.1571,2109.233,868.68,1920.072,1.0922786339140937,-0.04444369323786766,-0.6685599587492813,0.011204014545048473,-0.11129372830764082,0.011204014545048473,"High Risk"
"BB+",87.397,852.33,2839.601,2020.914,0.118500416,0,3114.682,9054.1576,7192.633,-224.092,305.745,0.49079424480572975,0.1509126414236105,0.06788450482794223,1.6366006630230265,0.8931059414733191,0.08700634152654581,"High Risk"
"BBB-",63.529,740.919,740.919,1883.992,0.620564801,0.42,1892.158,17391.836259134452,1193.943,-1875.679,-1484.314,14.754291660632992,0.024303657706733654,0.40788534239235325,0.09393612302232739,0.23185643059406247,0.09393612302232739,"Medium Risk"
"B",0,3.399,16.579,-630.629,0.022863793,0,845.696,571.3214,148.663,125.766,200.464,0.2691972056152565,0.0027316936741882676,4.878787878787878,0,-0.000004729831996356466,0,"High Risk"
"BBB-",397.749,383.012,383.012,1232.814,0.252157924,0.22,1944.535,17391.836259134452,1518.937,4768.636,5273.44,0.33244451758389537,0.0078100105415526136,0.10727601223982539,0.008562916225513013,0.1758384395241021,0.008562916225513013,"Medium Risk"
"BB-",153.9,381.3,1320.3,1000.2,0.121001523,0,290.2,4396.704,3151.2,-90.7,143.5,4.3876636802205375,0.14358877800790812,0.2205612378704432,0.32706557984438683,4.259820813232254,0.14255279733234533,"High Risk"
"BB+",58.4,299.7,408.4,550.8,0.272776918,2.64,639.7,2536.7495,1098.7,14.2,152.1,1.128810379865562,0.1839891951623795,0.07173840507173841,1.2493448146761512,0.6048147569173049,0.21864470235866715,"High Risk"
"B+",92.5,64.5,245.2,-938,0.047820285,0.6,461.9,653.676,1348.8,-72.1,-20,0.7300281446200476,0.05190311418685121,0.30387596899224806,1.0813796212804327,0.4884174063650142,0.20852119026149685,"High Risk"
"A",166,1345,1345,4715,0.669820717,0.48,6063,17391.836259134452,2008,-847,-899,0.21375556655121228,0.09247799779977998,0.07509293680297398,0.023103688239387615,0.20517895431304634,0.023103688239387615,"Low Risk"
"BB-",5965,1072,1072,3574,0.125438802,0,14637,17391.836259134452,8546,-42,1549,0.43526678964268634,0.01007225338482209,0.3908582089552239,0.0698289687789003,0.04461296713807474,0.0698289687789003,"High Risk"
"A",5747,5584,5584,15546,0.577635254,0.64,6062,108653.76,9667,-2458,1585,0.5430550973276147,0.34322945479132094,0.01092406876790831,0.8310918293564714,0.9110854503464203,0.8310918293564714,"Low Risk"
"B",9.839,92.102,218.568,-543.14,0.192987639,0,-113.07,186.5901,477.243,16.574,47.737,-4.16739188113558,0.1673443876345903,0.417070204772969,0.4241416978776529,-1.5933050322808884,0.05118081564710778,"High Risk"
"B",85.414,-765.007,-692.897,-925.824,-1.508101288,0,-526.491,176.7289,507.265,-156.881,-24.327,-2.2732677291729586,-0.6332724072905956,-0.13672031759186518,0.15886247814604026,1.5147248480980682,0.15886247814604026,"High Risk"
"BBB-",95.196,110.584,127.049,-35.183,0.703764987,1.24,717.134,879.1184,157.132,-20.841,-135.202,0.8127686039150285,0.08284928912367083,0.3335835202199233,2.7386651323360187,0.12572266828793502,2.7386651323360187,"Medium Risk"
"B",92.194,58.068,129.337,-162.085,0.070356374,0,65.93,81.2792,825.341,-16.008,39.291,3.564386470499014,0.13297639684985996,0.35764965213198324,1.2364788213627993,1.646731381768542,0.679145488029466,"High Risk"
"BBB+",662.525,1169.098,1394.462,2980.695,0.261933675,0.693,3561.931,7073.4418,4463.336,-286.812,792.024,0.21452268446525213,0.20969419857613608,0.03858102571384093,0.8778227839994877,0.3788273832367893,0.5303551844765891,"Medium Risk"
"BBB-",22.394,268.746,919.267,712.689,0.163944487,4.33,3202.442,5808.5082,1639.25,42.896,424.052,0.8722075216350522,0.03642123112234083,0.4579751884679214,0.03750966967661709,0.24861902260837201,0.01619011126454066,"Medium Risk"
